count= 42
now = 09:27:49.395774
/home/qa/Desktop/0721/03522_A1/2.jpg = 354892092203522
/home/qa/Desktop/0721/05633_A1/2.jpg = 355824083405633
/home/qa/Desktop/0721/05934_2_A1/2.jpg = 354898092405934
/home/qa/Desktop/0721/05934_A1/2.jpg = 354898092405934
/home/qa/Desktop/0721/06680_A1/2.jpg = 354892091306680
/home/qa/Desktop/0721/13852_A1/2.jpg = 354896091713852
/home/qa/Desktop/0721/15654_A1/2.jpg = 356696084515654
/home/qa/Desktop/0721/16769_A1/2.jpg = 353013099716769
/home/qa/Desktop/0721/18783_A1/2.jpg = 356759080918783
/home/qa/Desktop/0721/19658_A1/2.jpg = 353000099419650
/home/qa/Desktop/0721/19982_A1/2.jpg = 353011093019982
/home/qa/Desktop/0721/23971_A1/2.jpg = 354912090323971
/home/qa/Desktop/0721/26168_A1/2.jpg = 353012091526168
/home/qa/Desktop/0721/34129_A1/2.jpg = 356696083034129
/home/qa/Desktop/0721/40044_A1/2.jpg = 353009098540044
/home/qa/Desktop/0721/40777_A1/2.jpg = 356706080140777
/home/qa/Desktop/0721/43430_A1/2.jpg = 356112093543430
/home/qa/Desktop/0721/44076_A1/2.jpg = 358626093744076
/home/qa/Desktop/0721/45279_A1/2.jpg = 356765080045279
/home/qa/Desktop/0721/47211_A1/2.jpg = 356717083747211
/home/qa/Desktop/0721/50147_A1/2.jpg = 355330081650147
/home/qa/Desktop/0721/53730_A1/2.jpg = 359497088353730
/home/qa/Desktop/0721/56581_A1/2.jpg = 355825087356581
/home/qa/Desktop/0721/60024_A1/2.jpg = 356115097360024
/home/qa/Desktop/0721/61273_A1/2.jpg = 359467089261273
/home/qa/Desktop/0721/62547_A1/2.jpg = 356088096062547
/home/qa/Desktop/0721/69003_A1/2.jpg = 356700081969003
/home/qa/Desktop/0721/81364_2_A1/2.jpg = 354889097181364
/home/qa/Desktop/0721/81364_A1/2.jpg = 354889097181364
/home/qa/Desktop/0721/83745_A1/2.jpg = 359165079083745
/home/qa/Desktop/0721/84930_A1/2.jpg = 355828083284930
/home/qa/Desktop/0721/92574_A1/2.jpg = 356086090692574
Decode Fail: /home/qa/Desktop/0721/94932_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/63519_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/73117_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/77222_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/81187_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/58180_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/51312_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/53060_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/40395_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/16412_A1/2.jpg
end = 09:35:04.021368

/home/qa/Desktop/0721/58180_A1/2.jpg = 356709089058180
/home/qa/Desktop/0721/77222_A1/2.jpg = 356715083677222
/home/qa/Desktop/0721/63519_A1/2.jpg = 354911091163519
/home/qa/Desktop/0721/40395_A1/2.jpg = 353013096040395

Decode Fail: /home/qa/Desktop/0721/94932_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/73117_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/81187_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/51312_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/53060_A1/2.jpg
Decode Fail: /home/qa/Desktop/0721/16412_A1/2.jpg
